screen_name,tweet,created_at
realDonaldTrump,"TRUMP: “If stupid people aren’t elected next year, we’re going to have one of the greatest years that we’ve ever had.” https://t.co/3x0OHXrahG",8/17/2020 1:29
realDonaldTrump,"President @realDonaldTrump continues to enjoy a record enthusiasm advantage over Biden, and Republicans are now outpacing Democrats in new voter registrations in critical battleground states like Florida and North Carolina. https://t.co/HHLvp4bEtF",8/17/2020 1:28
realDonaldTrump,Senior Advisor @JaredKushner: Israel-UAE deal is “the culmination of three and a half years of incredible diplomacy by President @realDonaldTrump” https://t.co/EnaBxAY6dq,8/17/2020 1:28
realDonaldTrump,"Senior Advisor @JaredKushner on moving U.S. embassy to Jerusalem: President @realDonaldTrump believes in keeping his promises, unlike past administrations https://t.co/KHZ6ZIidkM",8/17/2020 1:28
realDonaldTrump,Senior Advisor @JaredKushner: President @realDonaldTrump opposes universal mail-in-voting because he wants a fair election https://t.co/ZKpovNafxW,8/17/2020 1:28
realDonaldTrump,President @realDonaldTrump has mobilized his Administration to address barriers to women's full economic empowerment around the world—and it has already made a difference in the lives of millions. https://t.co/Szibk2B89j,8/17/2020 1:27
realDonaldTrump,It is NONSENSE to say @realDonaldTrump is undercutting the Postal Service. I know. I oversaw USPS in Congress on the Oversight Committee. It was a mismanaged wreck during the Obama administration—they’ve lost billions for a decade had issues long before this President.,8/17/2020 1:27
realDonaldTrump,".@jaredkushner is spot on.
 
“Dr. Fauci said this week that there should be no fear for people to go out and vote in person… what @realDonaldTrump wants is a fair election.” https://t.co/BBzvvX3ixa",8/17/2020 1:27
realDonaldTrump,"This breakthrough was made possible by President @realDonaldTrump’s leadership—and it provides a foundation for further advances toward regional peace in the future.

https://t.co/Mv9Ip3BzHh https://t.co/mZ6lMx8emK",8/17/2020 1:26
realDonaldTrump,"Today’s PGA Tour Winner, 42- year old Jim Herman credits President Donald Trump for 'little bit of good luck' at this week’s Wyndham Championship.

Thanks @realDonaldTrump for inspiring others to reach for their dreams. https://t.co/6zxG0Jwaqg",8/17/2020 1:16
realDonaldTrump,Great going Jim. Proud of you! https://t.co/jaJBVm1TlR,8/17/2020 1:14
realDonaldTrump,"The liberal media &amp; Dems don’t want the election called the night of the election. They want a few extra days to massage the numbers, so they are planting the seed now that voters won’t know. Ordinarily they’d hold officials accountable for not being prepared.  #MailInBallots https://t.co/dBQsE75WIW",8/17/2020 1:12
realDonaldTrump,"Epic!

The Patriots of Hawaii are Standing Up &amp; Raising their Voices in this Blue State! 

The Silent Majority isn’t Silent anymore &amp; the Dems are waking up &amp; Walking away! 

We love our President @realDonaldTrump 
Trump will win! 
Who agrees? https://t.co/B4tobewid5",8/17/2020 1:07
realDonaldTrump,"Law and Order. If @NYCMayor can’t do it, we will! https://t.co/N88GX9Rkc9",8/17/2020 1:06
realDonaldTrump,"Antifa attends Sturgis.

I couldn't tell for sure but it looked like maybe a half-dozen Antifa?

The ratio of Trump supporters/Patriots to America-hating Demo-liberals will be about the same come election day.

Agree? https://t.co/PB5TKJenly",8/17/2020 1:04
realDonaldTrump,"More lies about ""Vote by mail"".

This is nothing but a Democrat attempt to cheat and STEAL this election.

Nothing they say about it will be true.

MSM reporting on this matter will echo their lies, build upon them, and use every trick they know to mislead you!

Here's one. https://t.co/ez6IHMvw6d",8/17/2020 1:03
realDonaldTrump,Do you think the WSJ understands this? https://t.co/AJLxzBkzeE,8/17/2020 1:02
realDonaldTrump,"Hey California,

Are you ready to vote for Trump in November?",8/17/2020 1:01
realDonaldTrump,"Told you guys she was not only unpopular, but very unpopular historically.

Okay. Going back to enjoying the last day I have with the kids before school. https://t.co/cjHauKNoT8",8/17/2020 1:00
realDonaldTrump,How is this video not everywhere?  https://t.co/Zca0BlgaBm,8/17/2020 0:59
realDonaldTrump,"What if people talked like @JOEBIDEN?

Awkward... https://t.co/POpBPnRZSS",8/16/2020 18:41
realDonaldTrump,Thank you Franklin! https://t.co/ZwpwcS2k2B,8/16/2020 18:38
realDonaldTrump,Thank you James! https://t.co/cKiKlAXHqI,8/16/2020 18:37
realDonaldTrump,"Robert Trump was an incredible man - strong, kind and loyal to the core. Anyone who encountered him felt his warmth immediately. He will be deeply missed by our entire family.",8/16/2020 18:37
realDonaldTrump,"I’m hearing some Republicans, pundits say we should “move on” from the #MullerReport in order to heal the nation...

I disagree.

We are a nation of laws, and until we start enforcing the very same laws congress holds us to, there will be no healing in this nation. 

Am I wrong?",8/16/2020 18:34
realDonaldTrump,"“If carefully done, according to the guidelines, there is no reason why you shouldn’t be able to do that (vote at polling place).” Doctor Anthony Fauci",8/16/2020 18:31
realDonaldTrump,"#TrumpPatriots we have 78 days to UNITE&amp;SUPPORT our AWESOME PRESIDENT @realDonaldTrump to elect him for #4MoreYears We need #KAG,bring back #LawAndOrder put #AmericaFirst #KeepAmericanJobs &amp;keep #GreatestEconomyInTheWorld by #VoteRedToSaveAmerica Spread the word #Trump2020 #MAGA https://t.co/iG0kjPtStK",8/16/2020 18:14
realDonaldTrump,"Uncle Robert, we love you. You are in our hearts and prayers, always.",8/16/2020 17:49
realDonaldTrump,.@FoxNews is not watchable during weekend afternoons. It is worse than Fake News @CNN. I strongly suggest turning your dial to @OANN. They do a really “Fair &amp; Balanced” job!,8/16/2020 17:31
realDonaldTrump,"VP Mike Pence: ""Sen. Kamala Harris said she would change the dietary guidelines of this country to reduce the amount of red meat that Americans can eat.""

Crowd boos.

VP: ""Well I've got some red meat for you: We're not going to let Joe Biden &amp; Kamala Harris cut America's meat!"" https://t.co/TPqcy92rdw",8/16/2020 17:22
realDonaldTrump,"Thousands of boaters hit the water in Clearwater on Saturday in an effort to set a record for the largest pro-Trump boat parade.

#Trump2020 #KAGA2020 https://t.co/NH2r5vy9fy",8/16/2020 17:14
realDonaldTrump,SO PROUD OF MY HOMELAND!!! #HAWAIILIFE <U+0001F1FA><U+0001F1F8><U+0001F34D><U+0001F1FA><U+0001F1F8><U+0001F34D> https://t.co/Tf3SDJW4zn,8/16/2020 17:07
realDonaldTrump,"Why don’t you like Trump??

I’ll Wait......<U+0001F923><U+0001F923><U+0001F923> 

Love <U+0001F447> guy!!

https://t.co/CxB69SaAlH",8/16/2020 16:52
realDonaldTrump,His own words on video... #JimCrowJoe  https://t.co/nstkBIkDsz,8/16/2020 16:48
